t,VP,I,DPER,DUR,WAR,G,P,Z
1952,44.71,1,0,1.75,1,0.9960271161,0.0969408954,9
1956,42.906,-1,-1,0,0,-1.2540810328,0.0728947457,8
1960,50.087,-1,0,-1,0,0.6688688858,0.0617969378,7
1964,61.203,1,1,0,0,4.9991870289,0.0451881722,12
1968,49.425,1,0,1,1,5.0135579905,0.1151567758,14
1972,38.209,-1,-1,0,1,5.7865846327,0.1805558288,13
1976,51.049,-1,0,-1,0,3.7995341304,0.2948008971,15
1980,44.842,1,1,0,0,-3.6010762103,0.3041205827,14
1984,40.877,-1,-1,0,0,5.5106058144,0.1802982139,13
1988,46.168,-1,0,-1,0,2.3962916037,0.0993498107,14
1992,53.621,-1,-1,-1.25,0,3.0240474595,0.1128568322,10
1996,54.737,1,1,0,0,3.3044597062,0.0722260797,11
2000,50.262,1,0,1,0,2.0268925333,0.0580115776,13
2004,48.767,-1,-1,0,1,2.0794782016,0.0759148129,9
2008,53.689,-1,0,-1,1,-1.7916157435,0.0967235374,9
2012,51.984,1,1,0,1,0.9472985134,0.0544223337,7
2016,,1,0,1,0,0.294749317,0.049466464,6
